AAIC,  3.7000,  Real Estate,  REIT—Mortgage
ABEO,  2.6700,  Healthcare,  Biotechnology
ABEV,  2.9400,  Consumer Defensive,  Beverages—Brewers
ABIO,  4.7600,  Healthcare,  Biotechnology
ABUS,  4.2900,  Healthcare,  Biotechnology
ACCO,  8.95,  Industrials,  Business Equipment & Supplies
ACER,  4.0500,  Healthcare,  Biotechnology
ACH,  8.11,  Basic Materials,  Aluminum
ACIU,  6.82,  Healthcare,  Biotechnology
ACOR,  7.36,  Healthcare,  Biotechnology
ACRX,  2.3500,  Healthcare,  Drug Manufacturers—Specialty & Generic
ACTG,  7.16,  Industrials,  Specialty Business Services
ADAP,  6.26,  Healthcare,  Biotechnology
ADMA,  2.6300,  Healthcare,  Biotechnology
ADMP,  1.3000,  Healthcare,  Drug Manufacturers—Specialty & Generic
ADMS,  6.00,  Healthcare,  Drug Manufacturers—Specialty & Generic
ADT,  9.38,  Industrials,  Security & Protection Services
ADTX,  3.4500,  Healthcare,  Biotechnology
AEG,  4.3200,  Financial Services,  Insurance—Diversified
AEZS,  1.1800,  Healthcare,  Biotechnology
AFI,  4.4900,  Industrials,  Building Products & Equipment
AFMD,  5.99,  Healthcare,  Biotechnology
AGEN,  5.18,  Healthcare,  Biotechnology
AGFS,  2.2800,  Consumer Defensive,  Farm Products
AGI,  7.98,  Basic Materials,  Gold
AGLE,  7.72,  Healthcare,  Biotechnology
AGRO,  8.02,  Consumer Defensive,  Farm Products
AGRX,  3.0000,  Healthcare,  Drug Manufacturers—Specialty & Generic
AGS,  6.21,  Consumer Cyclical,  Gambling
AGTC,  5.35,  Healthcare,  Biotechnology
AHC,  2.4500,  Communication Services,  Publishing
AHT,  3.0000,  Real Estate,  REIT—Hotel & Motel
AIV,  4.8700,  Real Estate,  REIT—Residential
AKBA,  4.57,  Healthcare,  Biotechnology
ALSK,  3.2800,  Communication Services,  Telecom Services
ALTG,  9.97,  Industrials,  Rental & Leasing Services
ALTO,  7.90,  Energy,  Oil & Gas Refining & Marketing
AM,  8.01,  Energy,  Oil & Gas Midstream
AMC,  7.17,  Communication Services,  Entertainment
AMPY,  2.6100,  Energy,  Oil & Gas E&P
AMRN,  8.50,  Healthcare,  Biotechnology
AMRX,  5.17,  Healthcare,  Drug Manufacturers—Specialty & Generic
AMTX,  7.59,  Energy,  Oil & Gas Refining & Marketing
ANH,  2.6800,  Real Estate,  REIT—Mortgage
ANTE,  3.5000,  Communication Services,  Telecom Services
AP,  7.52,  Industrials,  Metal Fabrication
APTO,  4.5400,  Healthcare,  Biotechnology
APTS,  7.67,  Real Estate,  REIT—Residential
APTX,  3.9700,  Healthcare,  Biotechnology
AQB,  9.78,  Consumer Defensive,  Farm Products
AQMS,  6.08,  Industrials,  Waste Management
AQST,  6.20,  Healthcare,  Biotechnology
AR,  7.42,  Energy,  Oil & Gas E&P
ARC,  2.1900,  Industrials,  Specialty Business Services
ARCO,  5.38,  Consumer Cyclical,  Restaurants
ARDX,  7.31,  Healthcare,  Biotechnology
ARLO,  8.52,  Industrials,  Security & Protection Services
ARLP,  6.31,  Energy,  Thermal Coal
AROC,  9.51,  Energy,  Oil & Gas Equipment & Services
ASC,  3.6000,  Industrials,  Marine Shipping
ASMB,  6.28,  Healthcare,  Biotechnology
ASRT,  0.8797,  Healthcare,  Drug Manufacturers—Specialty & Generic
ASRV,  3.8600,  Financial Services,  Banks—Regional
ASUR,  9.15,  Technology,  Software—Application
ASYS,  7.96,  Technology,  Semiconductor Equipment & Materials
AT,  2.9800,  Utilities,  Utilities—Independent Power Producers
ATAX,  4.6000,  Financial Services,  Mortgage Finance
ATHX,  2.7500,  Healthcare,  Biotechnology
ATOS,  4.0000,  Healthcare,  Biotechnology
ATRS,  4.7400,  Healthcare,  Medical Instruments & Supplies
AUTO,  3.3200,  Communication Services,  Internet Content & Information
AUY,  4.7900,  Basic Materials,  Gold
AVCT,  8.37,  Technology,  Information Technology Services
AVDL,  8.95,  Healthcare,  Drug Manufacturers—Specialty & Generic
AVEO,  9.25,  Healthcare,  Biotechnology
AWH,  8.09,  Healthcare,  Diagnostics & Research
AWRE,  4.99,  Technology,  Software—Application
AXAS,  3.6250,  Energy,  Oil & Gas E&P
AXL,  9.83,  Consumer Cyclical,  Auto Parts
AYRO,  7.35,  Consumer Cyclical,  Auto Manufacturers
BBAR,  2.9500,  Financial Services,  Banks—Regional
BBD,  4.8600,  Financial Services,  Banks—Regional
BBDC,  9.15,  Financial Services,  Credit Services
BBVA,  5.29,  Financial Services,  Banks—Diversified
BBW,  5.25,  Consumer Cyclical,  Specialty Retail
BCLI,  7.32,  Healthcare,  Biotechnology
BCRX,  9.99,  Healthcare,  Biotechnology
BCS,  8.07,  Financial Services,  Banks—Diversified
BDSI,  4.1900,  Healthcare,  Biotechnology
BEST,  2.5000,  Industrials, 
BGCP,  4.0795,  Financial Services,  Capital Markets
BHR,  5.40,  Real Estate,  REIT—Hotel & Motel
BIOC,  7.38,  Healthcare,  Diagnostics & Research
BKCC,  3.4000,  Financial Services,  Asset Management
BKD,  5.50,  Healthcare,  Medical Care Facilities
BKEP,  2.0900,  Energy,  Oil & Gas Midstream
BMRA,  7.63,  Healthcare,  Diagnostics & Research
BNED,  6.91,  Consumer Cyclical,  Specialty Retail
BPT,  3.5900,  Energy,  Oil & Gas Refining & Marketing
BRFS,  4.2000,  Consumer Defensive,  Packaged Foods
BRY,  4.3600,  Energy,  Oil & Gas E&P
BSBR,  7.72,  Financial Services,  Banks—Regional
BSGM,  5.09,  Healthcare,  Medical Devices
BSM,  9.73,  Energy,  Oil & Gas E&P
BSMX,  5.20,  Financial Services,  Banks—Regional
BSQR,  4.26,  Technology,  Software—Application
BTU,  3.8000,  Energy,  Thermal Coal
BW,  6.37,  Industrials,  Electrical Equipment & Parts
BXRX,  1.7700,  Healthcare,  Biotechnology
CAAS,  6.77,  Consumer Cyclical,  Auto Parts
CALA,  3.1900,  Healthcare,  Biotechnology
CAN,  6.91,  Technology,  Computer Hardware
CAPR,  6.89,  Healthcare,  Biotechnology
CASA,  8.34,  Technology,  Communication Equipment
CATB,  3.3100,  Healthcare,  Biotechnology
CBAT,  7.78,  Industrials,  Electrical Equipment & Parts
CBAY,  6.09,  Healthcare,  Biotechnology
CBIO,  5.95,  Healthcare,  Biotechnology
CCLP,  1.6900,  Energy,  Oil & Gas Equipment & Services
CCO,  1.9400,  Communication Services,  Advertising Agencies
CCRN,  9.43,  Industrials,  Staffing & Employment Services
CDE,  9.19,  Basic Materials,  Gold
CDEV,  3.4500,  Energy,  Oil & Gas E&P
CDTX,  2.5500,  Healthcare,  Biotechnology
CDXC,  5.27,  Healthcare,  Biotechnology
CECE,  7.19,  Industrials,  Pollution & Treatment Controls
CEIX,  9.39,  Energy,  Thermal Coal
CEL,  3.6600,  Communication Services,  Telecom Services
CEMI,  7.77,  Healthcare,  Diagnostics & Research
CERC,  3.4300,  Healthcare,  Biotechnology
CERS,  7.65,  Healthcare,  Biotechnology
CFRX,  5.19,  Healthcare,  Biotechnology
CHMA,  4.4653,  Healthcare,  Biotechnology
CHS,  2.3400,  Consumer Cyclical,  Apparel Retail
CHU,  5.45,  , 
CIA,  5.81,  Financial Services,  Insurance—Life
CIG,  2.6500,  Utilities,  Utilities—Diversified
CLBS,  2.2700,  Healthcare,  Biotechnology
CLIR,  4.5300,  Industrials,  Pollution & Treatment Controls
CLMT,  3.9000,  Energy,  Oil & Gas E&P
CLNY,  5.39,  Real Estate,  REIT—Diversified
CLS,  9.00,  Technology,  Electronic Components
CLSD,  3.4700,  Healthcare,  Biotechnology
CLSN,  1.9300,  Healthcare,  Biotechnology
CLVS,  9.35,  Healthcare,  Biotechnology
CMCM,  4.2300,  Technology,  Software—Application
CMO,  5.69,  Real Estate,  REIT—Mortgage
CMRE,  8.55,  Industrials,  Marine Shipping
CMRX,  9.95,  Healthcare,  Biotechnology
CNCE,  6.99,  Healthcare,  Biotechnology
CNDT,  5.20,  Technology,  Information Technology Services
CNET,  2.9400,  Communication Services,  Advertising Agencies
CNSL,  5.96,  Communication Services,  Telecom Services
CNTY,  8.63,  Consumer Cyclical,  Resorts & Casinos
CO,  4.1300,  Healthcare,  Diagnostics & Research
COTY,  7.05,  Consumer Defensive,  Household & Personal Products
CPG,  3.1900,  Energy,  Oil & Gas E&P
CPLG,  7.82,  Real Estate,  REIT—Hotel & Motel
CPLP,  9.92,  Industrials,  Marine Shipping
CPRX,  4.4200,  Healthcare,  Biotechnology
CPSS,  4.2300,  Financial Services,  Credit Services
CRBP,  2.6400,  Healthcare,  Biotechnology
CRESY,  5.12,  Industrials,  Conglomerates
CRK,  5.0000,  Energy,  Oil & Gas E&P
CRNT,  4.83,  Technology,  Communication Equipment
CRVS,  4.1000,  Healthcare,  Biotechnology
CRWS,  8.00,  Consumer Cyclical,  Textile Manufacturing
CSLT,  1.8300,  Healthcare,  Health Information Services
CSPR,  8.00,  Consumer Cyclical,  Furnishings
